year,age,sex,people
2014,0,1,3782
2014,0,2,-3486
2014,1,1,4689
2014,1,2,-4185
2014,2,1,5411
2014,2,2,-4842
2014,3,1,5916
2014,3,2,-5421
2014,4,1,30568
2014,4,2,-29263
2014,5,1,28009
2014,5,2,-26469
2014,6,1,33728
2014,6,2,-31533
2014,7,1,28789
2014,7,2,-26721
2014,8,1,23334
2014,8,2,-21800
2014,9,1,20837
2014,9,2,-19608
2014,10,1,22841
2014,10,2,-21819
2014,11,1,24186
2014,11,2,-24687
2014,12,1,28032
2014,12,2,-27429
2014,13,1,26945
2014,13,2,-24555
2014,14,1,25606
2014,14,2,-21887
2014,15,1,24314
2014,15,2,-21304
2014,16,1,26332
2014,16,2,-23115
2014,17,1,20973
2014,17,2,-18386
2014,18,1,24149
2014,18,2,-20183
2014,19,1,18202
2014,19,2,-14997
2014,20,1,21451
2014,20,2,-17052
2014,21,1,17619
2014,21,2,-14470
2014,22,1,16716
2014,22,2,-15832
2014,23,1,15614
2014,23,2,-12827
2014,24,1,15809
2014,24,2,-14326
2014,25,1,12350
2014,25,2,-10770
2014,26,1,16555
2014,26,2,-13851
2014,27,1,11755
2014,27,2,-9404
2014,28,1,15431
2014,28,2,-13796
2014,29,1,11585
2014,29,2,-10059
2014,30,1,12946
2014,30,2,-10268
2014,31,1,10043
2014,31,2,-7553
2014,32,1,9012
2014,32,2,-6534
2014,33,1,9559
2014,33,2,-8132
2014,34,1,10382
2014,34,2,-8831
2014,35,1,9398
2014,35,2,-8105
2014,36,1,9014
2014,36,2,-8089
2014,37,1,8016
2014,37,2,-7214
2014,38,1,8053
2014,38,2,-7195
2014,39,1,6414
2014,39,2,-5892
2014,40,1,6328
2014,40,2,-5872
2014,41,1,6121
2014,41,2,-5589
2014,42,1,6381
2014,42,2,-5840
2014,43,1,5599
2014,43,2,-5371
2014,44,1,5941
2014,44,2,-5693
2014,45,1,5673
2014,45,2,-5545
2014,46,1,5505
2014,46,2,-5711
2014,47,1,4886
2014,47,2,-5264
2014,48,1,5019
2014,48,2,-5326
2014,49,1,4349
2014,49,2,-4796
2014,50,1,4381
2014,50,2,-4773
2014,51,1,4001
2014,51,2,-3503
2014,52,1,4170
2014,52,2,-3622
2014,53,1,3828
2014,53,2,-3385
2014,54,1,4039
2014,54,2,-3506
2014,55,1,3893
2014,55,2,-3412
2014,56,1,3784
2014,56,2,-3107
2014,57,1,3468
2014,57,2,-2873
2014,58,1,3506
2014,58,2,-2898
2014,59,1,3148
2014,59,2,-2677
2014,60,1,3181
2014,60,2,-2687
2014,61,1,2276
2014,61,2,-1369
2014,62,1,2404
2014,62,2,-1428
2014,63,1,2233
2014,63,2,-1341
2014,64,1,2268
2014,64,2,-1363
2014,65,1,2168
2014,65,2,-1303
2014,66,1,2411
2014,66,2,-1402
2014,67,1,2181
2014,67,2,-1237
2014,68,1,2186
2014,68,2,-1243
2014,69,1,2069
2014,69,2,-1186
2014,70,1,2073
2014,70,2,-1176
2014,71,1,1149
2014,71,2,-517
2014,72,1,1160
2014,72,2,-515
2014,73,1,1107
2014,73,2,-488
2014,74,1,1112
2014,74,2,-487
2014,75,1,1057
2014,75,2,-465
2014,76,1,1035
2014,76,2,-408
2014,77,1,934
2014,77,2,-347
2014,78,1,916
2014,78,2,-344
2014,79,1,869
2014,79,2,-329
2014,80,1,858
2014,80,2,-325
2014,81,1,306
2014,81,2,-103
2014,82,1,294
2014,82,2,-93
2014,83,1,273
2014,83,2,-86
2014,84,1,271
2014,84,2,-84
2014,85,1,262
2014,85,2,-82
